questions,classes
What are the names of PERSON 's original roommates on ORG ?,HUM
What is the definition of hazmat ?,DESC
How many URL extensions are there ? and what are they ?,NUM
Where did the PERSON brothers make their ORDINAL flight ?,LOC
Who won WORK_OF_ART ?,HUM
What do you get by mixing gin and vermouth ?,ENTY
Name the CARDINAL youngsters saved by the animated PERSON .,HUM
"Who was the captain of the tanker , ORG , involved in the oil spill in GPE , Alaska , DATE ?",HUM
What is the snowiest city in the GPE ?,LOC
What is crabgrass ?,DESC
"What book opens : `` At a certain village in FAC , which I shall not name.. . '' ?",ENTY
Who is PERSON ?,HUM
What does ORG stand for ?,ABBR
"How do you say , `` I love you '' in other languages ?",ENTY
What is WORK_OF_ART ?,DESC
Why is PERSON famous ?,DESC
What is the chemical reactivity of helium ?,NUM
The name of the actor who played the detective in the film WORK_OF_ART is what ?,HUM
What is main reason for that electric vehicles can 't be popular nowadays ?,DESC
What is the difference between optical and digital video ?,DESC
"What clause in LAW may not be changed , altered or amended ?",DESC
What 's new in the postal world in DATE ?,DESC
What actor came to dinner in Guess Who 's Coming to Dinner ?,HUM
What is the difference between the anus and the rectum ?,DESC
What is a PERSON ?,DESC
What is the difference between college and graduate school ?,DESC
How do I change a file from an ART file to a ORG or NORP file ?,DESC
What is PERSON short story WORK_OF_ART trying to tell us ?,DESC
What engineer invented the pull-tab can ?,HUM
What NORP capital is the world 's highest ?,LOC
What are the lyrics to the Star Spangled Banner ?,DESC
Name a civil war battlefield .,LOC
When do you plant DATE wheat ?,NUM
What will a compass do in outer space ?,DESC
How many counties are in GPE ?,NUM
Which college did FAC attend ?,HUM
Who was the ORDINAL actress to appear on a postage stamp ?,HUM
Who was the ORDINAL black woman to star in ORG ?,HUM
What PERSON 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?,ENTY
What famed strip of land is a TIME boat trip across LOC from GPE ?,LOC
How is water treated to make it safe to drink ?,DESC
What is a hydrogen bond ?,DESC
What is the exchange rate between GPE and the U.S. ?,NUM
What does a woman want ?,ENTY
What is the protection rate of using condoms ?,NUM
What 's the abbreviation for limited partnership ?,ABBR
Which continent has the most roses ?,LOC
What NORP novel embracing more the CARDINAL characters is set in LOC ?,ENTY
How do you write a correct critical analysis of a poem ?,DESC
How do I check if my modem is v.9 compatible ?,DESC
What is your favorite color ?,ENTY
"What is the longest chemical name , consisting of CARDINAL letters ?",ENTY
How many corners does a spritsail have ?,NUM
What bottled-up TV character was born in GPE ?,HUM
What is a multiplexer ?,DESC
What credit card features a centurion on its face ?,ENTY
What are the CARDINAL largest mountain ranges on the NORP continent ?,LOC
What are the GPE ?,DESC
"What does caliente mean , in LANGUAGE ?",DESC
What is PERSON famous for ?,DESC
What is the mission of ORG ?,ENTY
What is thalassemia ?,DESC
How far can you see ?,NUM
What nuclear-powered NORP submarine sank in LOC on DATE ?,ENTY
Why can 't you taste anything when you have a cold ?,DESC
Where in the WORK_OF_ART does it tell about PERSON brothers and sisters ?,LOC
What country boasts the southernmost point in continental LOC ?,LOC
When did PERSON believe EVENT would begin ?,NUM
What is so powerful PRODUCT ?,DESC
What do the GPEese call GPE ?,ENTY
What country was PERSON an DATE king of ?,LOC
What happens when a body part falls asleep ?,DESC
What LANGUAGE word has the most letters ?,ENTY
What film ends with the line : `` This is Mrs. PERSON '' ?,ENTY
Who asked the musical question : `` Have you ever been to electric lady land ? '',HUM
Who wrote : `` Poems are made by fools like me but only God can make a tree '' ?,HUM
What is DATE 's birthstone ?,DESC
Where did the ORDINAL DATE meeting of GPE-Malaysia forest experts take place ?,LOC
Why do we ask for the `` check '' and not the bill at a restaurant ?,DESC
"Who played the part of the Godfather in the movie , WORK_OF_ART ?",HUM
When was GPE 's FAC constructed ?,NUM
Who invented the Wonderbra ?,HUM
What is the origin of the proverb `` A stitch in time saves CARDINAL '' ?,DESC
What state capital comes last alphabetically ?,LOC
Why is DATE on a Thursday ?,DESC
How do telephones work ?,DESC
What 's the main vegetable in vichyssoise ?,ENTY
How long did the PERSON murder trial last ?,NUM
How long does it take for your blood to make CARDINAL complete trip through the body ?,NUM
Who owns ORG ?,HUM
Where is former NORP wrestler PERSON WORK_OF_ART ?,LOC
"What beer tells us , `` Grab all the gusto you can get . '' ?",ENTY
What is the geographical center of the GPE including Alaska and Hawaii ?,LOC
Which side of the face do most artists tend to show more of in self-portraits ?,ENTY
What is diabetes ?,DESC
What phenomenon would you expect to read about in the DATE publication ORG ?,ENTY
When do ORG believe PERSON was born ?,NUM
In DATE was actress PERSON born ?,NUM
What is a fear of punishment ?,ENTY
What is average salary of restaurant manager in GPE ?,NUM
What comic strip sometimes features a mailman named PERSON ?,ENTY
What device provided a new way to listen to music in DATE ?,ENTY
"What will a kid eat the middle of , and save the chocolate on the outside for last ?",ENTY
"On average , how long time does it take to type a screenplay ?",NUM
What does the abbreviation ORG stand for ?,ABBR
What 's a short ton ?,DESC
How long do cardinal eggs incubate ?,NUM
What CARDINAL body parts grow all your life ?,ENTY
What GPE surgeon performed the ORDINAL artificial heart transplant ?,HUM
What country has the port of GPE ?,LOC
What is the main ingredient of yogurt ?,ENTY
What is the recipe for Eggs PERSON ?,ENTY
"What is the address for the main government office in GPE , Italy ?",LOC
What 's the largest GPE agricultural crop by weight ?,ENTY
What is the electronic device used to produce visual displays corresponding to electric signals ?,ENTY
What is goldenseal ?,DESC
Who made the most appearances in the center square on ORG ?,HUM
What is WORK_OF_ART ?,DESC
What is the chemical composition of a PERSON ?,ENTY
How many of every CARDINAL members of ORG have never worked a ranch ?,NUM
What store claims to be the world 's largest department store ?,HUM
What is the lens behind the PERSON in the eye called ?,ENTY
What is PERSON ?,DESC
What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?,HUM
What is the longest LANGUAGE word that can be formed using DATE of letters on a typewriter ?,ENTY
What is PERSON the name of ?,ENTY
What 's the green variety of beryl called ?,ENTY
What was the name of Captain PERSON 's ship ?,ENTY
Which is heavier - cream or milk ?,ENTY
Who said `` the only thing we have to fear is fear itself '' ?,HUM
Where is GPE located ?,LOC
How many films are made by the major studios in DATE ?,NUM
How many small businesses are there in the GPE .,NUM
What age is PERSON ?,NUM
How do you clean an ORG monitor screen ?,DESC
What city did the PERSON establish as their headquarters in DATE ?,LOC
What is amezaiku ?,DESC
What CARDINAL countries are linked by the Brenner Pass ?,LOC
What new games are available for Nintendo 64 ?,ENTY
GPE has what name for a state nickname ?,LOC
What is the predominant color of the PERSON label ?,ENTY
What GPE city was named for St. Francis of Assisi ?,LOC
"How many megawatts will the power project in GPE , built by a consortium headed by ORG , produce ?",NUM
What is the definition of `` chancery '' file in real estate ?,DESC
Who is the sexiest women in the world ?,HUM
What day is known as the `` national day of prayer '' ?,NUM
Where can I get a photograph of professor PERSON ?,LOC
Who was the supreme god of GPE religion ?,HUM
How do you handle a hungry man ?,DESC
Who 's played the most games for ORG ?,HUM
"What TV character said ; `` CARDINAL of these days , PERSON , pow , right in the kisser '' ?",HUM
What is the name of the NORP who became prime minister by beating Mrs. PERSON in the DATE election ?,HUM
What are the conjugations of wake and woke ?,ENTY
What NORP president was killed in a DATE coup d 'etat ?,HUM
What was Einstein 's IQ ?,NUM
Name the ORDINAL NORP astronaut to do a spacewalk .,HUM
Why do eyes sometimes look red in photographs ?,DESC
What are PERSON and Henry Clay known as ?,ENTY
What are the ORDINAL names of the famous husband-and-wife acting team of PERSON and Fontanne ?,HUM
What are some good exercises for kids to do ?,ENTY
How many real fruit juices are there in a can of NORP Punch ?,NUM
What is the abbreviation of ORG ?,ABBR
What is the principal river of GPE ?,LOC
What lake is the source of ORG ?,LOC
PERSON plays what game ?,ENTY
How much does a poodle weigh ?,NUM
What is NORP ?,DESC
What cable network bills itself as `` the family entertainer '' ?,HUM
How many points are there on a GPE board ?,NUM
What have you not let a tennis ball do if you volley ?,DESC
Which comic book was not spawned directly from the pulp magazines ?,ENTY
"What product is for kids , and not for silly rabbits ?",ENTY
What else has the swastika stood for ?,DESC
"Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?",DESC
How many frames does a disk camera shoot ?,NUM
What are the 7 Wonders of the World ?,ENTY
When did PERSON paint ORG ?,NUM
How many people have been Captain GPE ?,NUM
What is meant by the term `` yield to maturity '' in reference to bonds ?,DESC
"What became the biggest cash crop in the GPE in DATE , surpassing corn ?",ENTY
How did the war of DATE affect GPE ?,DESC
Where is the human skin least sensitive ?,ENTY
"What President was meant for , but never placed in , the empty crypt beneath the capital 's GPE ?",HUM
What is the biggest `` thing '' humans have made ?,ENTY
What are all the rivers in LOC ?,LOC
Who won the GPE in ?,HUM
What CARDINAL cards make up a perfect PERSON hand ?,ENTY
In DATE was PERSON assassinated ?,NUM
What is the time it takes a typist to type a screenplay that is CARDINAL pages long ?,NUM
What is the full classification of a lady bug ?,ENTY
What NORP cardinal was ORDINAL a state prisoner and then a refugee in the GPE embassy DATE ?,HUM
How many pairs of wings does a tsetse fly have ?,NUM
What was the name of the peace agreement imposed on GPE after EVENT ?,ENTY
What 's the ORDINAL-largest country in the world ?,LOC
How do you box train a cat ?,DESC
How was PERSON related to FDR ?,DESC
What newspaper serves GPE ?,ENTY
The film `` WORK_OF_ART '' was made in DATE ?,NUM
How does lightning travel ?,DESC
What spice do chefs pay the most for ?,ENTY
Who directed PERSON ?,HUM
What is troilism ?,DESC
What was the sister ship of the Olympic ?,ENTY
What is the nickname of the famous flyer who mistakenly flew to GPE instead of to Los Angeles ?,HUM
What is HTML ?,ABBR
How do you identify prime numbers ?,DESC
Whose special bear 's creator was born on DATE ?,HUM
What high school does PRODUCT attend ?,HUM
What animal migrates the farthest ?,ENTY
What film was based on the play WORK_OF_ART PERSON 's ?,ENTY
Why do we call someone `` honey '' ?,DESC
PERSON hocks which soft drink ?,ENTY
What television network flogged its sports programming on PERSON body in CARDINAL ?,HUM
In what country is Lund ?,LOC
What 's the sequel to PERSON 's Adventures in GPE ?,ENTY
What is the capital of GPE ?,LOC
What NORP leader had a lifelong fear of the evil eye ?,HUM
What city in GPE is ORG in ?,LOC
Who said : `` What contemptible scoundrel stole the cork from my lunch ? '',HUM
What 's a water funnel ?,DESC
What is a fear of worms ?,ENTY
What is a NORP `` spouting '' bowl ?,DESC
What does an emperor do ?,DESC
What president kissed ORG on the lips ?,HUM
Where does the tennis star PERSON come from ?,LOC
What continent pushes up ORG mountain range ?,LOC
How do they raise the cranes when building high-rise buildings ?,DESC
"What was PERSON finally imprisoned for , in DATE ?",DESC
What food can I use to catch a possum ?,ENTY
What was PERSON nickname ?,HUM
Who was the author of the famous fairy tale `` WORK_OF_ART and CARDINAL ORG '' ?,HUM
What is the largest city in GPE ?,LOC
What is a fear of cholera ?,ENTY
What park contains LOC and PERSON ?,LOC
What 's the largest island in GPE ?,LOC
What LOC state carries the telephone area code CARDINAL ?,LOC
What is an example of a natural acid-base indicator ?,ENTY
In what county is FAC ?,LOC
How do I find info about rice importers in the world ?,DESC
"How much does it cost to have a tree planted by dialing , 900 , CARDINAL-TREE ?",NUM
What is the song GPE to Heaven by PERSON about ?,DESC
How does hair curl ?,DESC
What are pushed and coupled in hump yards ?,ENTY
How long do hermit crabs live ?,NUM
What city hosted the ORDINAL Winter Olympics in LOC ?,LOC
What is the origin of the ORDINAL name ` Breony ' ?,DESC
What month were you born in if your birthstone is sardonyx ?,NUM
Who is behind the name of the ORG drink ?,HUM
What is the origin of `` WORK_OF_ART ?,DESC
"What soft drink not only has its own video game , but was featured in its own ORG comic book ?",ENTY
What oldtime kids ' fare did TV Guide writer PERSON call `` one of the most...subversive TV shows in NORP history '' ?,ENTY
PERSON advertises for what soft drink ?,ENTY
What does ORG of root beer fame stand for ?,ABBR
What tennis term is said to come from the NORP word for egg ?,ENTY
What does a collier mine ?,ENTY
How much money can a person be fined for having a dog on a beach ?,NUM
"What desert country borders GPE , Iraq and LOC ?",LOC
What are the ages in comic book lingo ?,ENTY
What kinds of animals are in GPE ?,ENTY
What NORP producer had a DATE profit of MONEY ?,HUM
What NORP actress was the ORDINAL to be called a `` vamp '' ?,HUM
What do DATE mean ?,DESC
"What PERSON novel portrays the Joad family , driven from the GPE dustbowl ?",ENTY
What date did man ORDINAL land on LOC ?,NUM
Where are the headquarters of ORG ?,LOC
How many web servers are there ?,NUM
What 's the last line of PERSON 's WORK_OF_ART ?,DESC
How many trees go into paper making in DATE ?,NUM
Where can I find info on research being done on oilseeds thru genetics ?,LOC
How come light bulbs go out ?,DESC
For what reason did ORG law firm close their GPE office ?,DESC
How far out is the universe ?,NUM
What is the difference between a bottle and a jar ?,DESC
What disease is the ORDINAL-biggest killer of NORP ?,ENTY
Where did the NORP live ?,LOC
Where was Poe born ?,LOC
What happens to the female body with lack of sleep and food ?,DESC
What is a fear of crystals or glass ?,ENTY
Name a product that controls the ripening of apples .,ENTY
How many ORG pitches does a reliever get coming into a baseball game ?,NUM
Where did PERSON die ?,LOC
What common livestock have the greatest variety of breeds ?,ENTY
What film had PERSON creating a scandal by wearing a daring red gown to a society ball ?,ENTY
What disease did DATE PERSON develop a specific test for in CARDINAL ?,ENTY
What card company sells DATE ornaments ?,HUM
How do I find out what cities are in a certain area code ?,DESC
What can communications satellites offer yachts ?,ENTY
How many PERSON are there to the pound ?,NUM
Who is the premier of GPE ?,HUM
What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?,HUM
How many bones are there in the human hand ?,NUM
What bread company used to feature stickers of GPE on the ends of their packages ?,HUM
Who was the president of PERSON ?,HUM
Whose kidnaping was termed ORG ?,HUM
What is hydrogen ?,DESC
What group asked the musical question Do You Believe in FAC ?,HUM
What was the tallest building in GPE in DATE ?,LOC
What buxom blonde appeared on the cover of CARDINAL magazines ?,HUM
What is recruitment interview technique ?,DESC
How does a hurricane form ?,DESC
What does the donation process entail ?,DESC
How far is it from GPE to Blythe ?,NUM
What GPE hamlet rises early to vote ORDINAL in U.S. presidential elections ?,LOC
How many people watch network television ?,NUM
"What garment was named for ORG , Voorhees and Day ?",ENTY
Who first broke the sound barrier ?,HUM
How do birds have sex ?,DESC
How many horses are there on a polo team ?,NUM
What 's destroyed in ORG CARDINAL : 24 ?,ENTY
What DATE is celebrated on February 16th ?,ENTY
What is PERSON 's PRODUCT ?,DESC
Where do the PERSON and Mayor NORP live ?,LOC
How long does it take to hike the entire LOC ?,NUM
What role do fruits play in the survival of plants ?,HUM
Where is the world championship sled dog race held each DATE ?,LOC
What are the medical purposes of `` clitoridectomy '' ?,DESC
How is thalassemia defined ?,DESC
What 's the name of the GPE newspaper ?,ENTY
What is a storm surge ?,DESC
How do you use `` farther '' as opposed to `` further '' ?,DESC
What was the alternate to ORG ?,ENTY
What is one of the languages of the FAC ?,ENTY
What WORK_OF_ART-winning novelist ran for mayor of GPE ?,HUM
How many times can a nickel-cadmium rechargeable battery be recharged ?,NUM
How is cologne made ?,DESC
What was the food of the NORP gods called ?,ENTY
What does camera-ready art mean ?,DESC
How many seats does the NORP sport ?,NUM
How many cards are dealt to each player in PERSON ?,NUM
What happened to PERSON ?,DESC
What PERSON novel deals with Isadora Wing 's fear ?,ENTY
What time of year do most people fly ?,NUM
Who was PERSON 's dead partner in Dickens 's WORK_OF_ART ?,HUM
What is the origin of the Christmas tree ?,DESC
When is the Thai New Year ?,NUM
What CARDINAL tournaments make up tennis ' Grand Slam ?,ENTY
What DATE film introduced the song WORK_OF_ART ?,ENTY
Who recorded the DATE hit PERSON ?,HUM
What is the term for the side of the mountain that faces the prevailing winds ?,ENTY
"In PERSON 's Metamorphosis , the hero awakes TIME to find himself turned into what ?",ENTY
What does caliente translate to in LANGUAGE ?,ENTY
Who is PERSON mother ?,HUM
How do you determine if a computer monitor has an ORG adapter ?,DESC
How far can a human eye see ?,NUM
What time of year has the most air travel ?,NUM
What does the term `` spaghetti western '' mean ?,DESC
When was the CARDINAL group of nations formed ?,NUM
What are differences DATE ?,DESC
What baseball player was walked the most times ?,HUM
What famous male vocalist has the same name as the composer of the opera ORG and PERSON ?,HUM
What were the ORDINAL frozen foods ?,ENTY
Why is ORG called ORG ?,DESC
What is the word for love of pain or abuse ?,ENTY
When did they canonize the WORK_OF_ART ?,NUM
Who was the only president to serve CARDINAL nonconsecutive terms ?,HUM
What percentage of all world tornados touch down in the GPE ?,NUM
What labor leader was last seen in the parking lot of a GPE restaurant ?,HUM
When did the NORP period begin ?,NUM
What motto ended ORG cartoons ?,DESC
Who reports the weather on PRODUCT television show ?,HUM
How many emperors were there in GPE ?,NUM
What was the name of WORK_OF_ART creator ?,HUM
What is PERSON ?,DESC
What is a virtual ORG address ?,DESC
What 's the name of the tiger that advertises for ORG cereal ?,ENTY
"Who sent the brief message `` I came , I saw , I conquered '' ?",HUM
What color is Mr. PERSON 's blood ?,ENTY
What ORG general led the ORDINAL bombing raid over GPE ?,HUM
What GPE vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?,HUM
"What was the name of the ORDINAL EVENT special prosecutor , later fired by PERSON ?",HUM
How do movie blues screens work ?,DESC
How does the speed the magnet spins in a generator affect the output of the generator ?,DESC
What 's the supreme policy-making bureau of ORG ?,HUM
What was EVENT ?,DESC
What is PERSON ?,DESC
Why did ORG burn down ?,DESC
On DATE were PERSON and Jackie Kennedy married ?,NUM
"What was the non-fiction best-seller of DATE , 1953 and 1954 ?",ENTY
What is meant by blood ORG rate ?,DESC
Who are the nomadic hunting and gathering tribe of LOC in Africa ?,HUM
Who won WORK_OF_ART for his novel PERSON ?,HUM
What 's the best way to lose the flab under your chin and around your face ?,ENTY
Where is your corpus callosum ?,LOC
"What FAC musical featured the song , `` If I were a rich man ? ''",ENTY
Who portrayed PERSON in CARDINAL films DATE ?,HUM
Why is the development of space so important ?,DESC
What is the nursery rhyme Rock-a-by Baby about ?,DESC
"When PERSON needs to get away from it all , where does he go ?",LOC
How old is singer PERSON ?,NUM
What is the origin of gametophytic tissue ?,DESC
What does PERSON mean ?,DESC
What is a fear of hair ?,ENTY
What is the name of the pop singer whose song became the theme song for a brand of catsup ?,HUM
What is a conifer ?,DESC
Who claimed to be the world 's most perfectly-developed man ?,HUM
What is different about the red and black fox ?,DESC
What is e-commerce ?,DESC
How do I tie a tie ?,DESC
Where can I get cotton textiles importer details ?,LOC
When did GPE and Korea start ambassadorial relations ?,NUM
What kind of people took part in ORG in GPE in DATE ?,HUM
What is chromatology ?,DESC
How many grooves are on a dime 's edge ?,NUM
How was the ORG formed ?,DESC
What are the most albums sold by CARDINAL artist or band ?,ENTY
The ORDINAL most popular sport worldwide is what ?,ENTY
What do goldfish lose if kept in dimly-lit or running water ?,ENTY
What canal does the PERSON Ferry Bridge span ?,LOC
What NORP won the world PRODUCT driving championship in DATE ?,HUM
What are the chances of pregnacy if the penis does not penetrate the vagina ?,NUM
What 's the highest hand in straight poker ?,ENTY
Where can I find a lesson plan for teaching the metric system conversion to NORP standard ?,LOC
What is the name of PERSON movie about Sioux NORP ?,ENTY
"What are PERSON , Siphnos , Seriphos and Mykonos ?",DESC
Name a female figure skater .,HUM
Why are there no white lines on pro footballs ?,DESC
How long would it take for a MONEY bond to mature ?,NUM
How is PERSON related to the villainous opponent of ORG ?,DESC
What did ORG establish ?,ENTY
What is the average cost for DATE of medical school ?,NUM
What harmful chemicals are in bug spray ?,ENTY
How many spears are there on GPE 's flag ?,NUM
What did PERSON always sing as he went into action ?,DESC
Where did PERSON live ?,LOC
How did PERSON die ?,DESC
What 's men 's par on a CARDINAL-yard golf hole ?,NUM
What percentage of NORP men are alcoholic ?,NUM
"Dialing , 900 , CARDINAL-TREE to have a tree planted will cost how much ?",NUM
"In GPE , how many NORP Soldiers are there ?",NUM
Who portrayed PERSON in All the President 's Men ?,HUM
What are the numbers that fit into PERSON 's last theorem ?,NUM
Who was PERSON father ?,HUM
What does a heliologist study ?,ENTY
Who was PERSON father ?,HUM
"What shampoo prevents eczema , seborrhea , and psoriasis ?",ENTY
How many NORP have HIV ?,NUM
Where do I find information for foreclosure properties on the Internet ?,LOC
Who is the PERSON ?,HUM
What was the ORDINAL LANGUAGE play written exclusively for children ?,ENTY
Which NORP country is the largest ?,LOC
What was the former residence of NORP kings in GPE ?,LOC
How many teats does a female goat sport ?,NUM
How tall is kilamanjaro ?,NUM
Who was the lawyer who represented PERSON ?,HUM
What country buys PERCENT of the world 's tea exports ?,LOC
What country is the origin of the band the ORG ?,LOC
What did the crocodile swallow in PERSON ?,ENTY
What is the origin of the word `` mushroom '' ?,DESC
Which of the following celebrities was not born in GPE ?,HUM
What is the number of NORP soldiers deployed to GPE ?,NUM
Where is the biggest bell ?,LOC
What is the brand name of the chemical daminozide ?,ENTY
How do microwaves work ?,DESC
What magazine paid PERSON $MONEY a word to write a bullfighting article ?,ENTY
What is the estimated total GPE whitetail deer population ?,NUM
Who wrote FAC ?,HUM
What animal received royal assent as an emblem of GPE on DATE ?,ENTY
What number is at CARDINAL o 'clock on a dartboard ?,NUM
Which team won EVENT in DATE ?,HUM
What is the recommended DATE requirement for folic acid for pregnant women ?,DESC
What film dramatized the PERSON monkey trial ?,ENTY
ORG is owned by whom ?,HUM
What country offered PERSON its presidency in DATE ?,LOC
What is the HIGHEST Roman numeral ?,DESC
"What TV series saw many of its aquatic scenes shot at GPE , Florida ?",ENTY
Who was DATE fire-and-brimstone monk who gained control of ORG but ended burnt at the stake ?,HUM
How is digital audio used ?,DESC
What is AFS ?,ABBR
Who was Quetzalcoatl ?,HUM
What operating system do ORG-compatible machines use ?,ENTY
What NORP leader sold GPE to the United States ?,HUM
"What bay sparkles next to GPE , Florida ?",LOC
How many miles of veins are in the circulatory system ?,NUM
What famed river flows through GPE ?,LOC
How is bubble wrap made ?,DESC
What is PERSON ?,DESC
Who is the prime minister of GPE ?,HUM
What player squats an average of CARDINAL times during a baseball doubleheader ?,HUM
What 's the most common name in nursery rhymes ?,HUM
How many `` No '' answers was the What 's My Line ? panel allowed ?,NUM
What is the fine for having a dog on a beach ?,NUM
"Who wrote the book , `` WORK_OF_ART ?",HUM
"Where can one find information on religion and health , the brain and nutrition ?",LOC
Name the PERSON who was always after Yogi Bear .,HUM
What TV show did PERSON sing the theme for ?,ENTY
Who is the president of the NORP government ?,HUM
Who holds the career record for the most major league home runs ?,HUM
Which of the following actors worked in GPE PERSON ?,HUM
Who invented the stethoscope ?,HUM
What is a mathematical factor ?,DESC
How many CARDINAL star generals were there and who are they ?,NUM
When did PERSON die ?,NUM
What was originally defined as CARDINAL 1-millionth of the distance from the equator to the Pole ?,ENTY
What comedian hit the TV screen in DATE with the ORG TIME show Time for PERSON ?,HUM
How many members are in the GPE congressional delegation ?,NUM
What erupts TIME at FAC ?,LOC
What country contains the highest point in LOC ?,LOC
What are PERSON fans called ?,HUM
Who retired with CARDINAL home runs to his credit ?,HUM
What constellation represents a hunter with club and shield ?,LOC
Who developed potlatch ?,HUM
How long did PERSON and Gould practice law in GPE ?,NUM
What 's a perfect score in a gymnastics exercise ?,NUM
"What group included PERSON , Jerry Rubin , and Tom Hayden ?",HUM
What made PERSON famous ?,DESC
At what age did PERSON stop writing opera ?,NUM
What NORP seaport has a name meaning `` Lord of the LOC '' ?,LOC
Name the CARDINAL actress daughters of PERSON .,HUM
How old was PERSON ?,NUM
What can be done about snoring ?,DESC
What LOC ridge separates North America 's eastward and westward-flowing rivers ?,LOC
Who is the actress PERSON once said she wished she looked like ?,HUM
Who portrayed ORG in The Wizard of Oz ?,HUM
What does a chiropodist treat ?,ENTY
What is porphyria ?,DESC
What gate opened on LOC and GPE ?,LOC
Who was the ORDINAL king of GPE ?,HUM
What made the Finger Lakes in western GPE state ?,DESC
In what movie is the number CARDINAL found in the title ?,ENTY
How many calories are there in soy sauce ?,NUM
Who killed PERSON ?,HUM
Who created the monster in PERSON novel Frankenstein ?,HUM
What 's the farthest planet from the sun ?,LOC
Why does the sun shine only a short time in GPE ?,DESC
What chemical in red wine is good for the heart and what exactly does it do to your body ?,ENTY
How does blood clot ?,DESC
How big is our galaxy in diameter ?,NUM
"What product `` doubles your pleasure , doubles your fun '' ?",ENTY
When is a woman most fertile ?,NUM
What son of a DATE NORP girl and a CARDINAL-Irish father became the world 's most famous Greek ?,HUM
Who was the ORDINAL man to return to space ?,HUM
What brand of jeans did PERSON admit in a DATE interview he felt more comfortable wearing ?,ENTY
Who gave PERSON his first dose of LSD ?,HUM
What effect does friction have on perpetual motion ?,DESC
What did the CARDINAL Dwarfs do for a living ?,HUM
What CARDINAL-foot-9 actress in 198CARDINAL became the ORDINAL performer to win an WORK_OF_ART for playing a character of the opposite sex ?,HUM
Who shot Billy the Kid ?,HUM
What is he doing now ?,DESC
What ORG leader was said to have had CARDINAL wives ?,HUM
What video format was an alternative to ORG ?,ENTY
Where did the term `` CARDINAL '' come from ?,DESC
What is money made of ?,ENTY
What 's the name of a hotel in GPE ?,LOC
How many people in GPE ?,NUM
Where is GPE ?,LOC
With whom did PERSON compare Saddam Hussein ?,HUM
What country was PERSON the leader of ?,LOC
"What is the recommended weight of a DATE male that is 5 , 6 ?",NUM
What pillar of ORG painted Aristotle Contemplating the Bust of Homer ?,HUM
What is the largest county in size in GPE ?,LOC
What is the name of the brilliant NORP economist behind its creation ?,HUM
Who played PERSON on The Dick Van Dyke Show ?,HUM
What is it like to experience a near death episode ?,DESC
What mythical figure carries an hourglass and a scythe ?,HUM
How much is a NORP 1967 MONEY gold coin worth ?,NUM
Why didn 't NORP colonial rule spread until after the ORDINAL and second industrial revolutions ?,DESC
What natural attractions draw the most visitors in GPE ?,LOC
What presidential administration challenged NORP to explore ORG ?,HUM
How many years did WORK_OF_ART sleep ?,NUM
How long does it take for your body to restore blood after you donate your blood ?,NUM
How do I know someone is truly in love with me ?,DESC
Which of many numbered vats of GPE was judged best by a panel of experts in DATE ?,ENTY
What is literary criticism ?,DESC
How do you throw a housewarming party ?,DESC
What international sport was originally called hurley ?,ENTY
What river runs through GPE ?,LOC
What famous NORP actor lost his voice after an operation in DATE ?,HUM
What does the term CARDINAL mean to a newspaper editor ?,DESC
What company makes impulse hardening equipment ?,HUM
What country was PERSON really working for ?,LOC
What does PERSON say to become Captain Marvel Jr. ?,DESC
What country was PERSON the chancellor of ?,LOC
What is PERSON married name ?,HUM
How many years make up a lustrum ?,NUM
What are close encounters of the ORDINAL and second kind ?,ENTY
Who is the mathematician that won WORK_OF_ART ?,HUM
Which glamorous actress is a close friend of PERSON ?,HUM
What DATE ORG novel was on the best-seller list for two years ?,ENTY
Name the CARDINAL races unleashed by the Celestials in GPE comics .,HUM
How old is the NORP artist PERSON ?,NUM
"What President hit the jogging paths to enhance his athletic image and , sporting No. CARDINAL , almost collapsed during the road race ?",HUM
What is the distinction of ORG WORK_OF_ART ?,DESC
What NORP city would you visit to see PERSON 's Needle ?,LOC
When was the ORG established ?,NUM
Where can I find an Ask An Expert site ?,LOC
What writer-journalist made his mark describing colorful FAC and underworld characters ?,HUM
What GPE state has the lowest highest elevation at QUANTITY ?,LOC
What are the residents of the island of PERSON called ?,HUM
What is the organizational structure of ORG airport ?,ENTY
"At DATE time , what is the traditional thing to do under the mistletoe ?",ENTY
What baseball great plugged Mr. PERSON ?,HUM
What international amateur sports spectacle was ORDINAL telecast in DATE ?,ENTY
What is the origin of the word `` amen '' ?,DESC
Who 's baby was PERSON on the GPE cartoon ?,HUM
Where is ORG ?,LOC
"What were GPE , Frobisher and ORG looking for ?",ENTY
What is limbo ?,DESC
What city contains the district of Hell 's Kitchen ?,LOC
What interesting method was used to run the credits in the early GPE cartoons ?,ENTY
What are the stars made of ?,ENTY
What LANGUAGE physician was born on DATE and went on to create CARDINAL important inventions ?,HUM
Who did PERSON try to assassinate on DATE ?,HUM
How fast must a spacecraft travel to escape LOC 's gravity ?,NUM
